2022/05/02 15:34:25.211 Logger INFO | Logger object created successfully..
2022/05/02 15:34:25.211 selector_events DEBUG | Using selector: SelectSelector
2022/05/02 15:34:30.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:30.212 Controller WARNING | No Joystick Detected
2022/05/02 15:34:35.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:35.213 Controller WARNING | No Joystick Detected
2022/05/02 15:34:40.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:40.213 Controller WARNING | No Joystick Detected
2022/05/02 15:34:45.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:45.212 Controller WARNING | No Joystick Detected
2022/05/02 15:34:50.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:50.213 Controller WARNING | No Joystick Detected
2022/05/02 15:34:55.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:34:55.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:00.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:00.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:05.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:05.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:10.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:10.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:15.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:15.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:20.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:20.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:25.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:25.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:30.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:30.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:35.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:35.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:40.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:40.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:45.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:45.212 Controller WARNING | No Joystick Detected
2022/05/02 15:35:50.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:50.213 Controller WARNING | No Joystick Detected
2022/05/02 15:35:55.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:35:55.213 Controller WARNING | No Joystick Detected
2022/05/02 15:36:00.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:00.213 Controller WARNING | No Joystick Detected
2022/05/02 15:36:05.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:05.213 Controller WARNING | No Joystick Detected
2022/05/02 15:36:10.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:10.212 Controller WARNING | No Joystick Detected
2022/05/02 15:36:15.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:15.212 Controller WARNING | No Joystick Detected
2022/05/02 15:36:20.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:20.212 Controller WARNING | No Joystick Detected
2022/05/02 15:36:25.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:25.212 Controller WARNING | No Joystick Detected
2022/05/02 15:36:30.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:30.213 Controller WARNING | No Joystick Detected
2022/05/02 15:36:35.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:35.213 Controller WARNING | No Joystick Detected
2022/05/02 15:36:40.212 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2022/05/02 15:36:40.212 Controller WARNING | No Joystick Detected
