

New Test 
frame0.jpg | [0, 102] | [0, 312] | [0, 522] | forward 
frame1.jpg | [0, 102] | [0, 312] | [0, 522] | forward 
frame2.jpg | [0, 102] | [0, 312] | [0, 522] | forward 
frame3.jpg | [0, 102] | [0, 312] | [0, 522] | forward 
frame4.jpg | [0, 102] | [0, 312] | [0, 522] | forward 


New Test 
frame0.jpg | [228, 102] | [109, 312] | [253, 522] | forward 
frame1.jpg | [233, 102] | [126, 312] | [253, 522] | forward 
frame2.jpg | [230, 102] | [122, 312] | [246, 522] | forward 
frame3.jpg | [277, 102] | [115, 312] | [250, 522] | forward 
frame4.jpg | [269, 102] | [115, 312] | [250, 522] | forward 
frame5.jpg | [332, 102] | [128, 312] | [264, 522] | forward 
frame6.jpg | [338, 102] | [122, 312] | [264, 522] | forward 
frame7.jpg | [328, 102] | [117, 312] | [265, 522] | forward 
frame8.jpg | [328, 102] | [117, 312] | [265, 522] | forward 
frame9.jpg | [372, 102] | [116, 312] | [265, 522] | forward 
frame10.jpg | [333, 102] | [110, 312] | [257, 522] | forward 
frame11.jpg | [377, 102] | [108, 312] | [265, 522] | forward 
frame12.jpg | [389, 102] | [119, 312] | [265, 522] | forward 
frame13.jpg | [384, 102] | [118, 312] | [260, 522] | forward 


New Test 
frame0.jpg | [272, 102] | [106, 312] | [252, 522] | forward 
frame1.jpg | [267, 102] | [107, 312] | [252, 522] | forward 
frame2.jpg | [267, 102] | [111, 312] | [252, 522] | forward 
frame3.jpg | [336, 102] | [114, 312] | [259, 522] | forward 
frame4.jpg | [354, 102] | [136, 312] | [265, 522] | forward 
frame5.jpg | [357, 102] | [132, 312] | [264, 522] | forward 
frame6.jpg | [378, 102] | [165, 312] | [264, 522] | forward 
frame7.jpg | [372, 102] | [163, 312] | [265, 522] | forward 
frame8.jpg | [358, 102] | [164, 312] | [265, 522] | forward 
frame9.jpg | [358, 102] | [164, 312] | [265, 522] | forward 
frame10.jpg | [374, 102] | [189, 312] | [265, 522] | forward 
frame11.jpg | [374, 102] | [189, 312] | [265, 522] | forward 
frame12.jpg | [376, 102] | [179, 312] | [266, 522] | forward 
frame13.jpg | [378, 102] | [190, 312] | [266, 522] | forward 
frame14.jpg | [379, 102] | [196, 312] | [266, 522] | forward 
frame15.jpg | [379, 102] | [201, 312] | [266, 522] | forward 
frame16.jpg | [373, 102] | [202, 312] | [266, 522] | forward 
frame17.jpg | [358, 102] | [195, 312] | [266, 522] | forward 
frame18.jpg | [358, 102] | [195, 312] | [266, 522] | forward 
frame19.jpg | [378, 102] | [205, 312] | [266, 522] | forward 
frame20.jpg | [378, 102] | [205, 312] | [266, 522] | forward 
frame21.jpg | [379, 102] | [200, 312] | [266, 522] | forward 
frame22.jpg | [381, 102] | [198, 312] | [266, 522] | forward 
frame23.jpg | [377, 102] | [205, 312] | [266, 522] | forward 
frame24.jpg | [363, 102] | [188, 312] | [266, 522] | forward 
frame25.jpg | [372, 102] | [198, 312] | [266, 522] | forward 
frame26.jpg | [382, 102] | [197, 312] | [265, 522] | forward 
frame27.jpg | [382, 102] | [197, 312] | [265, 522] | forward 
frame28.jpg | [378, 102] | [199, 312] | [266, 522] | forward 
frame29.jpg | [378, 102] | [198, 312] | [266, 522] | forward 
frame30.jpg | [373, 102] | [208, 312] | [266, 522] | forward 
frame31.jpg | [373, 102] | [208, 312] | [266, 522] | forward 
frame32.jpg | [379, 102] | [202, 312] | [265, 522] | forward 
frame33.jpg | [381, 102] | [197, 312] | [266, 522] | forward 
frame34.jpg | [377, 102] | [190, 312] | [266, 522] | forward 
frame35.jpg | [378, 102] | [194, 312] | [266, 522] | forward 
frame36.jpg | [378, 102] | [194, 312] | [266, 522] | forward 
frame37.jpg | [378, 102] | [191, 312] | [266, 522] | forward 
frame38.jpg | [373, 102] | [193, 312] | [266, 522] | forward 
frame39.jpg | [377, 102] | [193, 312] | [266, 522] | forward 
frame40.jpg | [377, 102] | [193, 312] | [266, 522] | forward 
frame41.jpg | [378, 102] | [189, 312] | [267, 522] | forward 
frame42.jpg | [373, 102] | [192, 312] | [266, 522] | forward 
frame43.jpg | [381, 102] | [196, 312] | [266, 522] | forward 
frame44.jpg | [381, 102] | [196, 312] | [266, 522] | forward 
frame45.jpg | [373, 102] | [190, 312] | [266, 522] | forward 
frame46.jpg | [381, 102] | [205, 312] | [266, 522] | forward 
frame47.jpg | [377, 102] | [196, 312] | [266, 522] | forward 
